"","x"
"202","Hesselbo, S.P., Grscke, D.R., Jenkyns, H.C., Bjerrum, C.J., Farrimond, P., Bell, H.S.M., and Green, O.R. 2000"
"203","Riding, J.B., Leng, M.J., Kender, S., Hesselbo, S.P., and Feist-Burkhardt, S. 2013"
"204","Katz et al. 2005"
"205","Nori, L., and Lathuiliere , B. 2003"
"206","Bachan et al. 2012"
"207","Korte, C., Hesselbo, S.P., Jenkyns, H.C., Rickaby, R.E., and Spstl, C. 2009"
"208","Van de Schootbrugge  et al. 2008"
"209","Muttoni et al. 2014"
"210","Korte et al. 2017"
"211","Korte, C., Jasper, T., Kozur, H.W., and Veizer, J. 2005"
"212","Preto et al. 2013"
"213","Ullmann, C.V., Campbell, H.J., Frei, R., Korte, C. 2014"
"214","Muttoni et al. 2004"
"215","Mazza et al. 2010"
"216","Sun et al. 2016"
"217","Payne et al. 2004"
"218","Galfetti et al. 2007"
"219","Lyu et al. 2019"
"220","Burgess et al. 2014"
"221","Xie et al. 2007 in Shen et al. 2017"
"222","Jin et al. 2000"
"223","Brand, U., Posenato, R., Came, R., Affek, H., Angiolini, L., Azmy, K., and Farabegoli, E. 2012"
"224","Kearsey, T., Twitchett, R.J., Price, G.D., and Grimes, S.T. 2009"
"225","Garbelli, C., Angiolini, L., Brand, U., Shen, S.-z., Jadoul, F., Posenato, R., Azmy, K., and Cao, C.-q. 2016"
"226","Riccardi et al. 2007"
"227","Korte, C., Kozur, H.W., and Veizer, J. 2005"
"228","Tierney 2010"
"229","Bagherpour et al. 2018"
"230","Mii, H.-s., Shi, G. R., and Wang, C.-a. 2013"
"231","Cao et al. 2018"
"232","Bond et al. 2010"
"233","Wang et al. 2004"
"234","Mii, H.-s., Shi, G. R., Cheng, C.-j., and Chen, Y.-y. 2012"
"235","Mii, H.-S., Grossman, E.L., and Yancey, T.E. 1997"
"236","Frank, T. D., Pritchard, J. M., Fielding, C. R., and Mory, A. J. 2012"
"237","Buggisch et al. 2011"
"238","Henkes, G.A., Passey, B.H., Grossman, E.L., Shenton, B.J., Yancey, T.E., and Perez-Huerta, A. 2018"
"239","Popp, B. N., Anderson, T. F., and Sandberg, P. A. 1986"
"240","Beard, J.A., Ivany, L.C.,  and Runnegar, B. 2015"
"241","Grossman, E.L., Yancey, T.E., Jones, T.E., Bruckschen, P., Chuvashov, B., Mazzullo, S., and Mii, H.-S. 2008"
"242","Shenton, B. J., Grossman, E. L., Passey, B. H., Henkes, G. A., Becker, T. P., Laya, J. C., Perez-Huerta, A., Becker, S. P., and Lawson, M. 2015"
"243","Frank, T. D., Shultis, A. I., and Fielding, C. R. 2015"
"244","Popp 1985"
"245","Mazzullo, S.J., Boardman, D.R., Grossman, E.L., and Dimmick-Wells, K. 2007"
