age,d13C,source,assigned.location,assigned.lat,assigned.lon,category,X,plng_PALEOMAP,plat_PALEOMAP,validtime_PALEOMAP,plng_MERDITH2021,plat_MERDITH2021,validtime_MERDITH2021,plng_CAO2024,plat_CAO2024,validtime_CAO2024,plng_TorsvikCocks2017,plat_TorsvikCocks2017,validtime_TorsvikCocks2017,MAT,GMST_Li22,GMST_PhanDA,GMST_PhanDA_hi,GMST_PhanDA_lo,temp_offset,temp_offset_PhanDA
183.687247,2.3,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.793825998,30.1176638,TRUE,10.58866248,26.27606581,TRUE,10.58866248,26.27606581,TRUE,-19.25042676,32.96817946,TRUE,25.5089135,20.10438496,25.31578489,30.15348785,22.09247566,5.404528533,0.193128602
183.689059,2.43,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.793415534,30.11774532,TRUE,10.58833495,26.27587335,TRUE,10.58833495,26.27587335,TRUE,-19.25087347,32.9677778,TRUE,25.50878695,20.10430521,25.31533356,30.15371324,22.09201591,5.404481736,0.193453388
183.690871,2.48,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.793005068,30.11782683,TRUE,10.58800742,26.27568089,TRUE,10.58800742,26.27568089,TRUE,-19.25132017,32.96737614,TRUE,25.5086604,20.10422546,25.31488223,30.15393863,22.09155616,5.404434939,0.193778173
183.692683,2.46,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.792594599,30.11790834,TRUE,10.5876799,26.27548843,TRUE,10.5876799,26.27548843,TRUE,-19.25176686,32.96697448,TRUE,25.50853385,20.10414571,25.31443089,30.15416403,22.09109641,5.404388142,0.194102959
183.694495,2.47,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.792184129,30.11798984,TRUE,10.58735239,26.27529597,TRUE,10.58735239,26.27529597,TRUE,-19.25221355,32.9665728,TRUE,25.5084073,20.10406596,25.31397956,30.15438942,22.09063666,5.404341345,0.194427744
183.696307,2.44,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.791773655,30.11807134,TRUE,10.58702488,26.2751035,TRUE,10.58702488,26.2751035,TRUE,-19.25266022,32.96617112,TRUE,25.50828076,20.10398621,25.31352823,30.15461481,22.09017691,5.404294548,0.194752529
183.698118,2.45,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.791363406,30.11815279,TRUE,10.58669755,26.27491114,TRUE,10.58669755,26.27491114,TRUE,-19.25310664,32.96576966,TRUE,25.50815428,20.1039065,25.31307714,30.15484008,22.08971742,5.404247777,0.195077136
183.69993,2.32,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.790952928,30.11823427,TRUE,10.58637005,26.27471867,TRUE,10.58637005,26.27471867,TRUE,-19.25355329,32.96536797,TRUE,25.50802773,20.10382675,25.31262581,30.15506547,22.08925767,5.40420098,0.195401921
183.701742,2.24,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.790542448,30.11831575,TRUE,10.58604255,26.27452619,TRUE,10.58604255,26.27452619,TRUE,-19.25399994,32.96496628,TRUE,25.50790118,20.103747,25.31217448,30.15529086,22.08879792,5.404154183,0.195726707
183.703554,2.18,Hesselbo et al. 2007,Peniche,39.36,-9.39,bulk,,2.790131966,30.11839722,TRUE,10.58571506,26.27433372,TRUE,10.58571506,26.27433372,TRUE,-19.25444658,32.96456458,TRUE,25.50777464,20.10366725,25.31172314,30.15551625,22.08833817,5.404107386,0.196051492
