"run.profile","parameter","median","lower","upper","Rhat","ESS"
"gmst_scotese","bulk.archive_level",2.65618755177169,2.07371464020029,3.42952038100281,2.16138609053464,32.4377608988958
"gmst_scotese","bulk_sr.archive_level",1.70005455004004,1.04400680635218,2.53781719876884,1.78990316899633,97.4332356987892
"gmst_scotese","bulk_marg.archive_level",2.31668245572311,1.73507952742697,3.08984935947032,2.15380085791847,30.7925364249482
"plate_torsvik2017","d13CO2_sigma",0.0999609042252403,0.0997898239451658,0.0999985207984448,1.00004795789872,24287.666936858
"plate_torsvik2017","GMST_sigma",0.49960046649398,0.497941464704445,0.49998574553536,0.999950033370083,24000
"plate_torsvik2017","BWT_sigma",0.48943322200929,0.451233280124585,0.499621105261284,1.00024736708154,14727.6118571877
"plate_torsvik2017","cc_co2_constant1",12.0670640320765,11.8346857648307,12.2254182523477,1.00005621378909,23618.5760786959
"plate_torsvik2017","cc_co2_coeff1",0.139993455450528,0.139964733679888,0.139999753043517,1.00012777116864,24403.6890042791
"plate_torsvik2017","asd",1.01857081766069,0.625120045643987,1.40401474971557,1.00008805889927,23525.7697032447
"plate_torsvik2017","bpump",2.27691629341647,1.69574835068034,2.85383259669773,1.0000906056883,18162.6408441286
"plate_torsvik2017","remin",1.2042034093579,0.700237290977794,1.71324240232432,1.00004142236448,23485.1956363033
"plate_torsvik2017","f_co3",0.00271836515882263,0.000103804087588493,0.015649543703344,1.00420690379294,332.875571270973
"plate_torsvik2017","f_carbacid",0.00467529782783537,0.000266402467662486,0.0130794105604873,1.00280993174334,1045.06199112393
"plate_torsvik2017","Abf",4.4987034507319,3.83105160273302,5.16872968458421,1.00030113581357,14939.7461937361
"plate_torsvik2017","Asurf",1.01857081766069,0.625120045643987,1.40401474971557,1.00008805889927,23525.7697032447
"plate_torsvik2017","d13CO2_level",-7.28336747636112,-8.17901741514108,-6.47343381626523,1.39540453748137,104.626205574072
"plate_torsvik2017","bf.nsb_mean",0.417583390916662,-0.0254730596291823,0.861056769117208,0.999983618346968,24591.2167528289
"plate_torsvik2017","pf.nsb_mean",-0.329927760173,-0.637286047461121,-0.0201610796669716,1.0002291547549,19122.1658176723
"plate_torsvik2017","brach.nsb_mean",0.0251428075640883,-0.281947129270943,0.33757221052396,0.999992675712477,19791.7745195654
"plate_torsvik2017","bivalve.nsb_mean",-0.882802247017676,-1.18998105608024,-0.569282958726739,0.999997457216293,19846.221612169
"plate_torsvik2017","amm.nsb_mean",1.49864847620363,1.18776956822195,1.81860671486164,1.00004140819469,20335.6092121662
"plate_torsvik2017","bel.nsb_mean",1.51955485504182,1.21174712758434,1.8329368479948,1.00000653498744,19674.8200852385
"plate_torsvik2017","micrite.nsb_mean",-0.439284940045403,-0.786935917210282,-0.0942313978375153,1.00008658267838,15435.4157594642
"plate_torsvik2017","bulk.nsb_mean",0.311780704977072,0.00563586160530763,0.62444092546846,1.00000939585643,19751.5054505669
"plate_torsvik2017","bulk_sr.nsb_mean",1.48394408795256,1.05339472148226,1.91343164111023,1.00012199234608,17433.6345081337
"plate_torsvik2017","bulk_marg.nsb_mean",0.615112626393163,0.30559007940148,0.928212113072053,0.999976344379343,19706.8692169726
"plate_torsvik2017","bf.nsb_tau",1001078.43078672,949457.909151108,1066654.56497128,1.05295770700324,114.598559595047
"plate_torsvik2017","pf.nsb_tau",992798.186449678,931297.797315701,1051810.18598088,1.05544373135551,92.449785921429
"plate_torsvik2017","brach.nsb_tau",999346.047937762,935378.878697673,1068449.87184447,1.09237070034375,165.524013375065
"plate_torsvik2017","bivalve.nsb_tau",996083.631460248,930105.652568619,1056633.84730922,1.03691428276345,158.441594687871
"plate_torsvik2017","amm.nsb_tau",1000693.85182561,940976.756020015,1058373.10906231,1.09063770200145,142.081587969733
