"age_Ma","d13CO2_2p5","d13CO2_25","d13CO2_50","d13CO2_75","d13CO2_97p5"
6.04986300000001,-6.97245613112371,-6.57955016757672,-6.37877589995163,-6.17469800539044,-5.78450094377231
6.14986300000001,-6.97602677175672,-6.58534594629583,-6.3844784287415,-6.18007010936529,-5.79023252888197
6.24986300000001,-6.96501666334032,-6.57835073355846,-6.37694906826743,-6.17360070086538,-5.78537991584181
6.34986300000001,-6.96751036025539,-6.57933420570867,-6.37677030224056,-6.17383424653684,-5.78219067481451
6.44986300000001,-6.95518446942933,-6.56444136809987,-6.36293937235029,-6.16003954386479,-5.7699947400086
6.54986300000001,-6.94625903788377,-6.55823544625209,-6.3552010076331,-6.15221131062268,-5.76336878812778
6.64986300000001,-6.92653184242311,-6.53481003028867,-6.33165871781349,-6.1305410740176,-5.73992830094167
6.74986300000001,-6.88524363328681,-6.49343737368825,-6.28997351851276,-6.08782883955817,-5.6999849099823
6.84986300000001,-6.83487098403967,-6.44329441126547,-6.24066576426944,-6.03622714714398,-5.64538823662823
6.94986300000001,-6.78218075558847,-6.39082218901251,-6.18630388575056,-5.98266545853494,-5.5922369577996
7.04986300000001,-6.71111432610719,-6.32178382272203,-6.11880512987626,-5.91549944761069,-5.52118601366075
7.14986300000001,-6.64880041059387,-6.2553261477715,-6.05257273755569,-5.84923779342582,-5.45924281012979
7.24986300000001,-6.58130779410964,-6.19055369339964,-5.9867363800887,-5.78383455445525,-5.38948736705902
7.34986300000001,-6.52395745246257,-6.13613139403085,-5.93029640749081,-5.72756479607293,-5.33210436545837
7.44986300000001,-6.46894435112247,-6.08042836466517,-5.87451093910989,-5.67297399731681,-5.27713832037491
7.54986300000001,-6.41407906783548,-6.02657088753943,-5.82234173624002,-5.61925417903258,-5.22672378525049
7.64986300000001,-6.37876160870569,-5.99147288204802,-5.78910415415572,-5.58505391230692,-5.1919566236784
7.74986300000001,-6.35475797378956,-5.96565019687479,-5.76316287172988,-5.56102276680594,-5.16935937738045
7.84986300000001,-6.33644100516788,-5.94878099840059,-5.7445216465701,-5.54169084653326,-5.15161149492889
7.94986300000001,-6.32237539125778,-5.93378921608465,-5.72901188266111,-5.52554680683481,-5.13336336338618
8.04986300000001,-6.29719879899283,-5.90494200941354,-5.70279319406701,-5.49738009444813,-5.1104787344807
8.14986300000001,-6.26910691451386,-5.87738192431579,-5.67239539716884,-5.46856154347759,-5.07711473081206
8.24986300000001,-6.23373265079948,-5.84556291103387,-5.64208290857197,-5.43791638577484,-5.04962003141379
8.34986300000001,-6.220738130224,-5.83144621222582,-5.62628733866279,-5.42213593168184,-5.03423891235155
8.44986300000001,-6.19823875011669,-5.8066328359212,-5.60369776064365,-5.4002618483422,-5.0124534327059
8.54986300000001,-6.17330248075637,-5.78227883875786,-5.57945109798873,-5.37711300978479,-4.98523542128467
8.64986300000001,-6.17779810870826,-5.78545414392107,-5.58089755770849,-5.3790530355188,-4.98986325418519
8.74986300000001,-6.18550956088156,-5.79023785388422,-5.58751125989833,-5.38436927219993,-4.9929905078409
8.84986300000001,-6.1889155842379,-5.79234244119836,-5.59107577229813,-5.38749842965,-4.99674657677712
8.94986300000001,-6.21802379134399,-5.82547004572391,-5.62356836804109,-5.41912364721004,-5.03071742741311
9.04986300000001,-6.25754278607764,-5.86386536481525,-5.66209493083811,-5.46093978816837,-5.06769506563447
9.14986300000001,-6.2802897816322,-5.88896489033402,-5.68486781122739,-5.48300733201474,-5.09021386683107
9.24986300000001,-6.30803077969852,-5.91549414098547,-5.71141045857297,-5.50814328070005,-5.11243012144594
9.34986300000001,-6.33948393057516,-5.9432303937862,-5.7393695300108,-5.53613488743303,-5.1427949497186
9.44986300000001,-6.35873613184668,-5.96732486810409,-5.76344761390278,-5.55962330519816,-5.16678594931319
9.54986300000001,-6.36918898151399,-5.9725407517278,-5.77061369728685,-5.56745676556382,-5.17562422723915
9.64986300000001,-6.36880259353826,-5.97264321559324,-5.77146967644901,-5.56654670422586,-5.17815074383411
9.74986300000001,-6.36963188513217,-5.97131252072415,-5.77038697675142,-5.56619274154963,-5.17242006042592
9.84986300000001,-6.36093285297224,-5.96377393550357,-5.76167627421782,-5.55774722196522,-5.16511609785888
9.94986300000001,-6.32647163733225,-5.93282513946152,-5.73099516934842,-5.52478441324459,-5.13468956086863
10.049863,-6.28131529626144,-5.88560941502922,-5.68232474978771,-5.47700734336781,-5.08874581618193
10.149863,-6.23308367461557,-5.84419696779241,-5.63989435873053,-5.43603585500365,-5.04761741937649
10.249863,-6.20540524391758,-5.81174858214654,-5.60797232690992,-5.40318579649919,-5.01373193579251
10.349863,-6.18657256485862,-5.79731416837417,-5.59188524881032,-5.38865990857841,-4.99994433128621
10.449863,-6.18799183949875,-5.79534615558619,-5.59126309750624,-5.38692353672086,-4.99620171747207
10.549863,-6.2056892259667,-5.8127722783536,-5.60882241487451,-5.40531220811197,-5.01657602880148
10.649863,-6.23146665286871,-5.83692555874172,-5.63407837264118,-5.42980572013942,-5.04262445104851
10.749863,-6.23941027492734,-5.84813845999775,-5.64505358789865,-5.4417262103022,-5.05155667551682
10.849863,-6.21462232351167,-5.82071045839141,-5.61788868812569,-5.41407814201582,-5.01852433742218
10.949863,-6.19056840489769,-5.79608794141756,-5.59313181319785,-5.38773643831464,-4.99774319305503
11.049863,-6.15640135042029,-5.75883383486502,-5.55735147245902,-5.35516392829787,-4.96184696163285
11.149863,-6.12541113713251,-5.7269371693515,-5.52511543550387,-5.32205981083546,-4.92842353252636
11.249863,-6.10309766790909,-5.70738655208169,-5.50390531973321,-5.30213859013136,-4.90855876065218
11.349863,-6.08417729737335,-5.68658843678049,-5.48201015088812,-5.28062735510441,-4.88899119685843
11.449863,-6.06148790796468,-5.66340589773669,-5.46021835723098,-5.25644139980992,-4.86924361066523
11.549863,-6.03638642219436,-5.64077990894319,-5.43690113167986,-5.23499738571583,-4.84613006494697
11.649863,-6.03858843211325,-5.64096400514267,-5.43929970151263,-5.23496940664298,-4.84490680469932
11.749863,-6.0324121711887,-5.63652222785743,-5.43466271388357,-5.23029128699916,-4.83742789673362
11.849863,-6.02611702994425,-5.63024156252999,-5.42726764644631,-5.22232875510146,-4.83413018178388
11.949863,-6.01639779269331,-5.61910866138874,-5.41555926225712,-5.20936851551081,-4.8226457531206
12.049863,-6.00939836468527,-5.60920128283604,-5.40811647209726,-5.2023766746558,-4.81184944625281
12.149863,-5.98800922573317,-5.59031318047173,-5.38710021494166,-5.18369112302256,-4.79098199235906
12.249863,-5.95585015228937,-5.56006773176681,-5.35817918997526,-5.15439894356878,-4.76592971578295
12.349863,-5.92652047682346,-5.53037106684958,-5.32875058727248,-5.12367878551717,-4.73551005540168
12.449863,-5.90108982606857,-5.50778822554803,-5.30441619942449,-5.10071410908035,-4.7119974854222
12.549863,-5.88740024539383,-5.4962681068544,-5.29252163199072,-5.08933489570847,-4.69935184325914
12.649863,-5.87838591412227,-5.48629119841477,-5.28244092644028,-5.07847327312812,-4.68935406054455
12.749863,-5.86700117737757,-5.47526327189921,-5.27215980250606,-5.06719478845018,-4.67789456247951
12.849863,-5.85106562771025,-5.46029950120626,-5.25665685700773,-5.05368900365632,-4.66438223357252
12.949863,-5.81562393305883,-5.42815023055442,-5.22231709100117,-5.01859191595766,-4.62626342985121
13.049863,-5.77708211928634,-5.38575251992246,-5.18062958248856,-4.97723842789955,-4.58696518333775
13.149863,-5.74325144488774,-5.34935539274462,-5.14467891052447,-4.94097709763555,-4.55245189781944
13.249863,-5.7057268520722,-5.31106937668949,-5.10789877806352,-4.90274717679545,-4.51247626659583
13.349863,-5.6567086066116,-5.26240348029175,-5.05738945839929,-4.85341684088947,-4.46173310752337
13.449863,-5.63772408991668,-5.24217696741241,-5.03770659947592,-4.83411268787058,-4.44462923207021
13.549863,-5.60872991163569,-5.21470939302193,-5.00965366095228,-4.80624000657979,-4.41585823960576
13.649863,-5.56882989823947,-5.17389993739324,-4.96893414275796,-4.76506056524967,-4.37128374493072
13.749863,-5.55532109561767,-5.15785244374194,-4.95264889378654,-4.74936939377168,-4.35815873835607
13.849863,-5.55800578681169,-5.16609064363357,-4.96136860988157,-4.75511695426747,-4.36592194495421
13.949863,-5.55166722796383,-5.15952639535901,-4.9556956959273,-4.74994479712344,-4.35880930822161
14.049863,-5.54477643669395,-5.1448686426856,-4.93983206002589,-4.73643966968444,-4.34651632556075
