"","age","d13C","source","assigned location","assigned lat","assigned lon","category"
"27062"," 93.104546"," 3.09150142","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27063"," 93.119816"," 3.16349430","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27064"," 93.139290"," 3.18386989","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27065"," 93.156162"," 3.28405068","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27066"," 93.174129"," 3.31132182","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27067"," 93.196783"," 3.14120082","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27068"," 93.219141"," 3.20163318","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27069"," 93.250349"," 3.18800525","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27070"," 93.276233"," 3.24760322","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27071"," 93.296394"," 3.31748666","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27072"," 93.319596"," 3.22354302","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27073"," 93.350000"," 3.56919487","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27074"," 93.386158"," 3.52808625","Jarvis et al. 2006","Culver Cliff IOW"," 50.67","  -1.09","bulk"
"27075"," 93.454030"," 3.67800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27076"," 93.461735"," 3.77400000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27077"," 93.468999"," 3.82300000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27078"," 93.476676"," 3.81300000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27079"," 93.483914"," 3.93000000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27080"," 93.491564"," 3.96900000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27081"," 93.494959"," 3.94000000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
"27082"," 93.498775"," 3.96800000","Paul et al. 1999","Eastbourne"," 50.75","   0.29","bulk"
