age,d13C,source,assigned location,assigned lat,assigned lon,category,
182.17,4.51,"Li, Q., Mcarthur, J., and Atkinson, T. 2012",Cleveland Basin (Yorkshire Coast),54.48,-0.59,Belemnite,
182.17,4.54,"Li, Q., Mcarthur, J., and Atkinson, T. 2012",Cleveland Basin (Yorkshire Coast),54.48,-0.59,Belemnite,
182.174126,2.16,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.175004,2.28,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.175882,2.5,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.17676,2.55,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.177638,2.76,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.178516,2.87,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.179394,2.87,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.18,4.56,"Li, Q., Mcarthur, J., and Atkinson, T. 2012",Cleveland Basin (Yorkshire Coast),54.48,-0.59,Belemnite,
182.180271,2.98,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.181149,2.93,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.182027,3.08,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.182905,3.23,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.183783,3.17,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.184661,3.06,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.185539,3.2,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.186417,3.25,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.187295,3.42,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.188172,3.51,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.18905,3.41,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.189928,3.28,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.19,0.1,"Dera, G., Brigaud, B., Monna, F., Laffont, R., Pucat, E., Deconinck, J.-F., Pellenard, P., Joachimski, M.M., and Durlet, C. 2011",Sud-Est Basin,45.87,4.66,Belemnite,
182.19,1.36,"Dera, G., Brigaud, B., Monna, F., Laffont, R., Pucat, E., Deconinck, J.-F., Pellenard, P., Joachimski, M.M., and Durlet, C. 2011",Sud-Est Basin,45.87,4.66,Belemnite,
182.19,1.68,"Dera, G., Brigaud, B., Monna, F., Laffont, R., Pucat, E., Deconinck, J.-F., Pellenard, P., Joachimski, M.M., and Durlet, C. 2011",Sud-Est Basin,45.87,4.66,Belemnite,
182.19,3.83,"Li, Q., Mcarthur, J., and Atkinson, T. 2012",Cleveland Basin (Yorkshire Coast),54.48,-0.59,Belemnite,
182.190806,3.26,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.191684,3.24,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.192562,3.16,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.19344,2.98,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.194318,2.87,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.195196,3.16,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.196073,3.42,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.196951,3.49,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.197829,3.4,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.198707,2.9,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.199585,3.11,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.2,1.89,"Metodiev, L., and Koleva-Rekalova, E. 2008",Western Balkan Mountains (south of the Moesian PF),42.89,23.12,Belemnite,
182.200463,3.2,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.201341,3.17,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.202219,3.18,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.203097,3.17,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.203974,3.15,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.204852,3.22,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.20573,3.11,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.206608,3.04,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.207486,3.07,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.208364,3.18,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.209242,3.49,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.21012,3.57,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.210998,3.54,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.211875,3.56,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.212753,3.58,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.213631,3.62,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.214509,3.59,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.215387,3.6,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.216265,3.45,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.217143,3.15,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.218021,3.19,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.218899,3.23,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.219776,3.14,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.22,2.06,"Li, Q., Mcarthur, J., and Atkinson, T. 2012",Cleveland Basin (Yorkshire Coast),54.48,-0.59,Belemnite,
182.220654,3.19,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.221532,3.18,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.22241,3.29,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.223288,3.4,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.224166,3.53,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.225044,3.48,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.225922,3.48,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.2268,3.38,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.227678,3.32,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.228555,3.3,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.229433,3.22,Hesselbo et al. 2007,Peniche 1,39.36,-9.39,bulk,
182.23,2.7,"Gomez, J.J.,  Goy, A., Canales, M.L. 2008",Iberian Range,41.49,-1.43,Belemnite,
